Lat,Lon,TripPurposes,ActivityDuration,ArrivalTime
37.524489,126.875301,Entertainment,308.0,16
37.521705,126.859385,ReturningHome,851.0,22
37.55544,126.935898,OrganizedHobby,146.0,14
37.57836500000001,126.910333,ReturningHome,535.0,16
37.565763,126.96658899999998,Commute,536.0,7
37.526126,126.864603,ReturningHome,536.0,16
37.541629,126.840422,Commute,343.0,7
0.0,0.0,ReturningHome,0.0,5
37.498415,126.908382,OrganizedHobby,377.0,10
37.48383,126.928045,ReturningHome,554.0,17
37.509124,126.963418,OrganizedHobby,308.0,11
37.556837,126.92375,Entertainment,14.0,17
37.524967,126.855776,ReturningHome,594.0,17
37.556837,126.92375,OrganizedHobby,462.0,7
37.524489,126.875301,ReturningHome,129.0,15
37.565343,126.97714,Commute,105.0,9
37.576506,126.985403,Entertainment,193.0,11
37.538159,126.893294,ReturningHome,485.0,16
37.51578,126.907638,Commute,243.0,12
37.455557,126.894015,ReturningHome,532.0,16
37.567392,126.998044,Commute,607.0,8
37.486813,126.982183,ReturningHome,664.0,19
37.608742,126.92098,Commute,758.0,9
37.589297,126.9226,ReturningHome,861.0,22
37.56599600000001,126.982161,Commute,634.0,8
37.537228000000006,126.895488,ReturningHome,677.0,19
37.571631,126.976482,Commute,604.0,8
37.547749,126.922426,OrganizedHobby,186.0,19
37.638398,126.93551,ReturningHome,895.0,22
37.528395,126.876533,OrganizedHobby,112.0,10
37.565669,127.008977,Entertainment,474.0,13
37.537842,126.881782,ReturningHome,832.0,21
37.55976500000001,126.964451,OrganizedHobby,60.0,7
37.48755900000001,126.913306,ReturningHome,55.0,8
37.570964,127.001549,Commute,726.0,8
37.47900300000001,126.98209,ReturningHome,808.0,21
37.48282800000001,127.005507,Commute,559.0,8
37.496283,126.953645,ReturningHome,650.0,18
37.481429,126.997551,Commute,854.0,8
37.484247,126.929731,ReturningHome,923.0,23
37.522359,126.974501,Commute,275.0,8
37.530303,126.991163,Work,86.0,13
37.518063,126.980768,Work,144.0,14
37.498248,127.059553,Commute,560.0,12
37.517968,126.894782,ReturningHome,897.0,22
37.51186,126.90038,Commute,720.0,7
37.49655,126.844516,ReturningHome,718.0,19
37.558734,126.978434,Commute,139.0,9
37.570932,127.009308,Entertainment,276.0,11
37.497062,126.916383,ReturningHome,531.0,16
37.527293,126.966207,Commute,364.0,10
37.465533,126.902145,Entertainment,552.0,17
37.575025,126.921807,Commute,555.0,9
37.562182,126.961857,ReturningHome,641.0,18
37.516433,127.020307,Commute,652.0,7
37.492938,127.01382,OrganizedHobby,75.0,18
37.485199,127.01616,ReturningHome,740.0,20
37.505963,127.004213,Commute,607.0,8
37.541629,126.840422,ReturningHome,677.0,19
37.554383,126.971133,Commute,583.0,13
37.494386,126.844746,ReturningHome,945.0,23
37.577404,126.898014,Entertainment,85.0,18
37.507135,126.900947,Entertainment,741.0,20
37.480376,126.882676,Commute,664.0,6
37.491928,126.946875,ReturningHome,634.0,18
37.508844,127.062999,Commute,692.0,8
37.487063,126.945212,ReturningHome,742.0,20
37.486415,126.929057,Commute,678.0,19
0.0,0.0,ReturningHome,0.0,5
37.57152,126.991853,Commute,376.0,9
37.487664,126.993624,Entertainment,344.0,15
37.481429,126.997551,ReturningHome,822.0,21
37.527457,126.93148,Commute,592.0,7
37.51066,127.019358,ReturningHome,600.0,18
37.517542,126.90622,OrganizedHobby,177.0,13
37.548966,126.868633,ReturningHome,531.0,16
37.51578,126.907638,Commute,70.0,10
37.477071,126.963508,OrganizedHobby,451.0,12
37.485243,126.901596,ReturningHome,727.0,20
37.576506,126.985403,OrganizedHobby,75.0,15
37.588754,126.944152,ReturningHome,543.0,17
37.534413,126.972893,Commute,606.0,9
37.53209,126.894577,ReturningHome,736.0,20
37.583468,126.99941499999998,OrganizedHobby,244.0,11
37.567753,126.91831299999998,ReturningHome,523.0,16
37.555154,126.936975,Entertainment,64.0,13
37.538159,126.893294,ReturningHome,425.0,15
37.516433,127.020307,Commute,518.0,8
37.477071,126.963508,ReturningHome,578.0,17
37.577404,126.898014,Commute,645.0,7
37.563663,126.81058,ReturningHome,629.0,18
37.533058,126.95833799999998,OrganizedHobby,235.0,18
37.513905,126.943467,ReturningHome,898.0,22
37.525655,126.868562,Commute,539.0,8
37.516317,127.131,ReturningHome,180.0,18
37.516708,126.918449,ReturningHome,882.0,22
37.532912,127.008337,Commute,634.0,8
37.49972800000001,126.928205,ReturningHome,714.0,19
37.489808,127.032862,Commute,637.0,7
37.488992,127.016388,Entertainment,262.0,18
37.49972800000001,126.928205,ReturningHome,914.0,23
37.561135,126.993624,Commute,573.0,9
37.581272,126.926303,ReturningHome,717.0,19
37.558148,126.936975,Commute,641.0,8
37.534781,126.902618,ReturningHome,658.0,18
37.577592,126.812787,Commute,519.0,7
37.552678,126.904185,ReturningHome,556.0,17
37.521032,126.934428,Commute,718.0,7
37.544533,126.951454,ReturningHome,703.0,19
37.477888,126.981948,OrganizedHobby,35.0,13
37.508377,126.961427,Entertainment,100.0,14
37.499667,126.960775,ReturningHome,505.0,16
37.549035,126.863368,Commute,37.0,9
37.546938,126.875077,ReturningHome,151.0,10
37.558734,126.978434,Commute,584.0,7
37.535883,126.827783,ReturningHome,645.0,18
37.601563,126.955075,Work,343.0,14
37.49097800000001,126.907998,ReturningHome,819.0,21
37.481293,126.881042,Entertainment,51.0,16
37.491568,126.874502,ReturningHome,589.0,17
37.554383,126.971133,Commute,735.0,6
37.51578,126.907638,ReturningHome,688.0,19
37.560957,126.986336,Commute,633.0,12
37.560957,126.986336,ReturningHome,938.0,23
37.528137,126.917819,Commute,714.0,7
37.54095,126.947916,ReturningHome,718.0,19
37.493973,127.01461299999998,Entertainment,140.0,17
37.561473,126.854408,ReturningHome,772.0,20
37.534502,126.99433700000002,Commute,624.0,8
37.555863,126.919793,ReturningHome,708.0,19
37.544576,126.97212,Commute,565.0,8
37.491543,126.9873,ReturningHome,627.0,18
37.47935,126.952188,Work,390.0,16
37.496512,126.953738,ReturningHome,924.0,23
37.51353,126.938872,Commute,649.0,11
37.504793,126.94594,ReturningHome,880.0,22
37.528137,126.917819,Entertainment,70.0,11
37.536653,126.832582,Entertainment,366.0,13
37.440866,126.903366,ReturningHome,716.0,19
37.519063,126.870348,Commute,585.0,6
37.497397,126.861832,ReturningHome,562.0,17
37.5653,126.966053,OrganizedHobby,83.0,11
37.572983,126.954763,ReturningHome,276.0,12
37.518505,127.04094,Commute,609.0,9
37.486764,126.838709,ReturningHome,724.0,20
37.558869,126.837217,OrganizedHobby,50.0,16
37.534781,126.902618,ReturningHome,563.0,17
37.546885,126.88451299999998,Commute,610.0,8
37.554887,126.855528,ReturningHome,677.0,19
37.500672,127.036468,Commute,693.0,8
37.549982,126.914496,ReturningHome,753.0,20
37.517295,127.041745,OrganizedHobby,187.0,17
37.490522,126.952787,ReturningHome,811.0,21
37.493973,127.01461299999998,Commute,760.0,8
37.48125,126.952685,ReturningHome,830.0,21
37.556837,126.92375,Entertainment,345.0,14
37.470518,126.938272,ReturningHome,758.0,20
37.501898,127.011658,Commute,683.0,11
37.48826,126.982283,ReturningHome,895.0,22
37.5657,126.930163,Commute,506.0,10
37.509372,126.90773,OrganizedHobby,725.0,20
37.506833,126.958225,Commute,624.0,8
37.504532,126.949657,ReturningHome,653.0,18
37.50437,127.048481,Commute,737.0,7
37.494802,126.887617,ReturningHome,762.0,20
37.52982100000001,126.96454,OrganizedHobby,327.0,11
37.516708,126.918449,ReturningHome,575.0,17
37.498153,127.028358,Commute,612.0,8
37.487755,126.95817,ReturningHome,685.0,19
37.558148,126.936975,Commute,723.0,9
37.518198,126.884328,ReturningHome,842.0,22
37.48125,126.952685,Commute,747.0,8
37.477312,126.981664,ReturningHome,807.0,21
37.500106,126.909743,Commute,505.0,8
37.511098,127.021291,ReturningHome,574.0,17
37.503273,126.88224,Commute,658.0,8
37.476556,126.981578,ReturningHome,689.0,19
37.56061500000001,126.905808,Work,294.0,13
37.504758,127.025473,Entertainment,142.0,19
37.517342,126.928382,ReturningHome,867.0,22
37.480692,126.884015,OrganizedHobby,258.0,7
37.453087,126.901123,Work,40.0,12
37.518432,126.905797,Work,102.0,13
37.453087,126.901123,ReturningHome,473.0,15
37.509938,126.924112,OrganizedHobby,66.0,17
37.51413,126.91952,ReturningHome,638.0,18
37.541629,126.840422,Commute,659.0,7
37.524967,126.855776,OrganizedHobby,42.0,18
37.577592,126.812787,ReturningHome,718.0,19
37.555154,126.936975,OrganizedHobby,387.0,11
37.48125,126.952685,ReturningHome,635.0,18
37.570033,126.985283,Commute,303.0,10
37.502742,126.84939,ReturningHome,523.0,16
37.458016,126.89915,OrganizedHobby,597.0,8
37.484766,126.902033,OrganizedHobby,57.0,18
37.484247,126.929731,ReturningHome,702.0,19
37.49268,126.924452,OrganizedHobby,114.0,18
37.46901,126.902263,ReturningHome,761.0,20
37.571638,127.010613,Commute,571.0,7
37.5366,126.877988,ReturningHome,595.0,17
37.557975,126.960662,Commute,560.0,8
37.493973,127.01461299999998,ReturningHome,623.0,18
37.556786,126.946393,Commute,233.0,9
37.557467,126.826412,ReturningHome,351.0,13
37.514266,127.060265,Entertainment,179.0,15
37.521672,126.924144,ReturningHome,635.0,18
37.491002,127.030732,Commute,563.0,8
37.484766,126.970942,ReturningHome,647.0,18
37.513423,126.938457,Commute,25.0,10
37.470137,126.898003,OrganizedHobby,435.0,11
37.478485,126.88441,OrganizedHobby,130.0,18
37.525564,126.8864,Commute,722.0,10
37.526126,126.864603,ReturningHome,915.0,23
37.510467,127.072807,Commute,648.0,8
37.540408,127.069217,OrganizedHobby,211.0,19
37.484766,126.970942,ReturningHome,920.0,23
37.554383,126.971133,Commute,575.0,8
37.524489,126.875301,ReturningHome,666.0,19
37.484766,126.970942,Commute,492.0,11
37.480376,126.882676,ReturningHome,724.0,20
37.50437,127.048481,Commute,662.0,8
37.520216,126.852885,ReturningHome,718.0,19
37.555735,127.043672,Commute,823.0,9
37.50844,126.891508,ReturningHome,930.0,23
37.537117,127.086165,OrganizedHobby,24.0,10
37.493973,127.01461299999998,ReturningHome,221.0,11
37.569517,126.931267,Commute,724.0,8
37.576642,126.927497,ReturningHome,764.0,20
37.565669,127.008977,Work,516.0,14
37.534781,126.902618,ReturningHome,936.0,23
37.51353,126.938872,Commute,586.0,9
37.503033,126.935782,ReturningHome,708.0,19
37.565669,127.008977,Commute,657.0,10
37.600907,126.9491,ReturningHome,861.0,22
37.544547,126.951358,Entertainment,71.0,15
37.561713,126.964018,ReturningHome,524.0,16
37.519447,127.053723,Commute,640.0,9
37.496512,126.953738,ReturningHome,744.0,20
37.520453,126.89527,OrganizedHobby,16.0,16
37.528772,126.898033,ReturningHome,545.0,17
37.493973,127.01461299999998,OrganizedHobby,30.0,14
37.476556,126.981578,Entertainment,26.0,14
37.486813,126.982183,ReturningHome,447.0,15
37.500672,127.036468,Commute,809.0,7
37.51176,126.88543,ReturningHome,826.0,21
37.576506,126.985403,Commute,335.0,10
37.636425,126.918845,ReturningHome,504.0,16
37.50437,127.048481,Commute,575.0,9
37.460472,126.919283,ReturningHome,709.0,19
37.498153,127.028358,Commute,586.0,10
37.477071,126.963508,ReturningHome,764.0,20
37.50836500000001,126.87999,OrganizedHobby,212.0,19
37.50437,127.048481,ReturningHome,949.0,23
37.56469600000001,127.005304,Commute,621.0,9
37.521902,126.85871000000002,ReturningHome,731.0,20
37.514323,127.031902,Commute,606.0,8
37.478713,126.903683,ReturningHome,716.0,19
37.560177,126.93893,Commute,613.0,9
37.493973,127.01461299999998,ReturningHome,777.0,20
37.514113,127.106985,Commute,558.0,8
37.479277,126.85486000000002,ReturningHome,679.0,19
37.565669,127.008977,Entertainment,247.0,12
37.512368,126.865715,ReturningHome,584.0,17
37.561965,126.919267,Commute,509.0,7
37.51578,126.907638,Work,46.0,16
37.501528,126.94091,ReturningHome,593.0,17
37.558042,126.928667,OrganizedHobby,95.0,18
37.556737,126.901587,OrganizedHobby,74.0,20
37.55611,126.909937,OrganizedHobby,92.0,22
37.556522,126.900547,ReturningHome,947.0,23
37.538159,126.893294,Commute,571.0,8
37.504443,126.896418,ReturningHome,638.0,18
37.610046,126.930275,Entertainment,123.0,15
37.588754,126.944152,ReturningHome,610.0,18
37.517968,126.894782,Commute,624.0,8
37.474033,126.89833,ReturningHome,687.0,19
37.520663,127.10382,Commute,638.0,8
37.494386,126.844746,ReturningHome,751.0,20
37.518877,126.927193,Commute,599.0,8
37.449067,126.902663,ReturningHome,690.0,19
37.485243,126.901596,Commute,582.0,9
37.484247,126.929731,OrganizedHobby,37.0,18
37.484233,126.92825,ReturningHome,693.0,19
37.567047,126.931222,OrganizedHobby,860.0,8
37.573395,126.959322,ReturningHome,899.0,22
37.548917,126.948497,Entertainment,256.0,14
37.51186,126.90038,ReturningHome,653.0,18
37.460528,126.95666,Work,202.0,13
37.574533,126.920585,ReturningHome,615.0,18
37.51045300000001,126.940337,Commute,574.0,7
37.50844,126.891508,OrganizedHobby,26.0,17
37.496096,126.869493,OrganizedHobby,197.0,17
37.485243,126.901596,Entertainment,88.0,13
37.549982,126.914496,ReturningHome,447.0,15
37.602282,126.916038,Commute,598.0,10
37.580827,126.90615,ReturningHome,768.0,20
37.514266,127.060265,Entertainment,252.0,8
37.550714,126.865573,ReturningHome,350.0,13
